Pasture,Transect_ID,Date
2S,2S-4,2018-02-23
2S,2S-4,2021-01-27
2S,2S-4,2024-02-24
3,3-10E,1957-12-13
3,3-10E,1966-09-21
3,3-10E,1975-06-06
3,3-10E,1982-10-20
3,3-10E,1997-02-21
3,3-10E,2000-02-25
3,3-10E,2003-02-03
3,3-10E,2006-01-17
3,3-10E,2009-01-23
3,3-10E,2012-01-23
3,3-10E,2015-02-06
3,3-10E,2018-01-22
3,3-10E,2021-01-18
3,3-10E,2024-02-17
3,3-10W,1957-12-13
3,3-10W,1966-09-21
3,3-10W,1975-06-06
3,3-10W,1982-10-20
3,3-10W,1997-02-21
3,3-10W,2000-02-25
3,3-10W,2003-02-03
3,3-10W,2006-01-17
3,3-10W,2009-01-23
3,3-10W,2012-01-23
3,3-10W,2015-02-06
3,3-10W,2018-01-22
3,3-10W,2021-01-18
3,3-10W,2024-02-17
3,3-1E,1957-12-13
3,3-1E,1966-09-21
3,3-1E,1975-06-06
3,3-1E,1981-05-20
3,3-1E,1982-10-23
3,3-1E,1997-02-21
3,3-1E,2000-02-25
3,3-1E,2003-02-10
3,3-1E,2006-01-23
3,3-1E,2009-01-23
3,3-1E,2012-01-23
3,3-1E,2015-02-16
3,3-1E,2018-01-22
3,3-1E,2021-01-18
3,3-1E,2024-02-17
3,3-1W,1957-12-13
3,3-1W,1966-09-21
3,3-1W,1975-06-06
3,3-1W,1981-05-20
3,3-1W,1982-10-23
3,3-1W,1997-02-21
3,3-1W,2000-02-25
3,3-1W,2003-02-10
3,3-1W,2006-01-23
3,3-1W,2009-01-23
3,3-1W,2012-01-23
3,3-1W,2015-02-16
3,3-1W,2018-01-22
3,3-1W,2021-01-18
3,3-1W,2024-02-17
3,3-4E,1957-12-13
3,3-4E,1962-09-05
3,3-4E,1966-09-19
3,3-4E,1975-06-06
3,3-4E,1981-05-20
3,3-4E,1982-10-23
3,3-4E,1997-03-07
3,3-4E,2000-02-25
3,3-4E,2003-02-10
3,3-4E,2006-01-23
3,3-4E,2009-01-23
3,3-4E,2012-01-23
3,3-4E,2015-02-06
3,3-4E,2018-01-22
3,3-4E,2021-01-18
3,3-4E,2024-02-17
3,3-4W,1957-12-13
3,3-4W,1962-09-05
3,3-4W,1966-09-19
3,3-4W,1975-06-06
3,3-4W,1982-10-23
3,3-4W,1997-03-07
3,3-4W,2000-02-25
3,3-4W,2003-02-10
3,3-4W,2006-01-23
3,3-4W,2009-01-23
3,3-4W,2012-01-23
3,3-4W,2015-02-06
3,3-4W,2018-01-22
3,3-4W,2021-01-18
3,3-4W,2024-02-17
3,3-7E,1957-12-11
3,3-7E,1962-09-05
3,3-7E,1966-09-19
3,3-7E,1975-06-05
3,3-7E,1982-10-23
3,3-7E,1997-03-20
3,3-7E,2000-03-03
3,3-7E,2003-02-28
3,3-7E,2006-01-24
3,3-7E,2009-03-06
3,3-7E,2012-02-02
3,3-7E,2015-02-20
3,3-7E,2018-02-23
3,3-7E,2021-01-29
3,3-7E,2024-02-23
3,3-7W,1957-12-11
3,3-7W,1962-09-05
3,3-7W,1966-06-06
3,3-7W,1975-06-05
3,3-7W,1997-03-20
3,3-7W,2000-03-03
3,3-7W,2003-02-28
3,3-7W,2006-01-24
3,3-7W,2009-03-06
3,3-7W,2012-02-02
3,3-7W,2015-02-20
3,3-7W,2018-02-23
3,3-7W,2021-01-29
3,3-7W,2024-02-23
3,3-8E,1957-12-11
3,3-8E,1966-09-19
3,3-8E,1975-06-05
3,3-8E,1981-05-21
3,3-8E,1982-10-23
3,3-8E,1997-03-20
3,3-8E,2000-03-03
3,3-8E,2003-02-28
3,3-8E,2006-01-24
3,3-8E,2009-03-06
3,3-8E,2012-02-02
3,3-8E,2015-02-20
3,3-8E,2018-02-23
3,3-8E,2021-01-29
3,3-8E,2024-02-23
3,3-8W,1957-12-11
3,3-8W,1966-09-19
3,3-8W,1975-06-05
3,3-8W,1981-05-21
3,3-8W,1982-10-23
3,3-8W,1997-03-20
3,3-8W,2000-03-03
3,3-8W,2003-02-28
3,3-8W,2006-01-24
3,3-8W,2009-03-06
3,3-8W,2012-02-02
3,3-8W,2015-02-20
3,3-8W,2018-02-23
3,3-8W,2021-01-29
3,3-8W,2024-02-23
5M,5N-10E,1958-01-15
5M,5N-10E,1962-09-06
5M,5N-10E,1966-09-22
5M,5N-10E,1975-05-21
5M,5N-10E,1982-10-27
5M,5N-10E,1997-02-07
5M,5N-10E,2000-01-24
5M,5N-10E,2003-02-03
5M,5N-10E,2006-01-10
5M,5N-10E,2009-01-26
5M,5N-10E,2012-01-13
5M,5N-10E,2015-01-23
5M,5N-10E,2018-01-09
5M,5N-10E,2021-01-13
5M,5N-10E,2024-02-09
5M,5N-10W,1958-06-04
5M,5N-10W,1962-09-06
5M,5N-10W,1966-09-22
5M,5N-10W,1975-05-21
5M,5N-10W,1982-10-27
5M,5N-10W,1997-02-07
5M,5N-10W,2000-01-24
5M,5N-10W,2003-02-03
5M,5N-10W,2006-01-10
5M,5N-10W,2009-01-26
5M,5N-10W,2012-01-13
5M,5N-10W,2015-01-23
5M,5N-10W,2018-01-09
5M,5N-10W,2021-01-13
5M,5N-10W,2024-02-09
5M,5N-11E,1958-01-15
5M,5N-11E,1966-09-22
5M,5N-11E,1975-05-21
5M,5N-11E,1982-10-27
5M,5N-11E,1997-02-07
5M,5N-11E,2000-01-24
5M,5N-11E,2003-02-03
5M,5N-11E,2006-01-03
5M,5N-11E,2009-01-26
5M,5N-11E,2012-01-13
5M,5N-11E,2015-01-23
5M,5N-11E,2018-01-09
5M,5N-11E,2021-01-13
5M,5N-11E,2024-02-09
5M,5N-11W,1958-01-15
5M,5N-11W,1966-09-22
5M,5N-11W,1975-05-21
5M,5N-11W,1982-10-27
5M,5N-11W,1997-02-07
5M,5N-11W,2000-01-24
5M,5N-11W,2003-02-03
5M,5N-11W,2006-01-03
5M,5N-11W,2009-01-26
5M,5N-11W,2012-01-13
5M,5N-11W,2015-01-23
5M,5N-11W,2018-01-09
5M,5N-11W,2021-01-13
5M,5N-11W,2024-02-09
5M,5N-1E,1958-01-08
5M,5N-1E,1966-09-26
5M,5N-1E,1975-05-21
5M,5N-1E,1982-10-23
5M,5N-1E,1997-02-03
5M,5N-1E,2000-01-28
5M,5N-1E,2003-01-31
5M,5N-1E,2006-01-05
5M,5N-1E,2009-02-06
5M,5N-1E,2012-01-13
5M,5N-1E,2015-01-23
5M,5N-1E,2018-01-09
5M,5N-1E,2021-01-11
5M,5N-1E,2024-02-04
5M,5N-1W,1958-01-08
5M,5N-1W,1966-09-26
5M,5N-1W,1975-05-21
5M,5N-1W,1982-10-23
5M,5N-1W,1984-09-27
5M,5N-1W,1997-02-03
5M,5N-1W,2000-01-28
5M,5N-1W,2003-01-31
5M,5N-1W,2006-01-05
5M,5N-1W,2009-02-06
5M,5N-1W,2012-01-13
5M,5N-1W,2015-01-23
5M,5N-1W,2018-01-09
5M,5N-1W,2021-01-11
5M,5N-1W,2024-02-04
5M,5N-8E,1958-01-15
5M,5N-8E,1966-09-23
5M,5N-8E,1975-05-23
5M,5N-8E,1982-10-27
5M,5N-8E,1997-02-07
5M,5N-8E,2000-01-24
5M,5N-8E,2003-02-03
5M,5N-8E,2006-01-05
5M,5N-8E,2009-02-02
5M,5N-8E,2012-01-13
5M,5N-8E,2015-01-23
5M,5N-8E,2018-01-09
5M,5N-8E,2021-01-11
5M,5N-8E,2024-02-18
5M,5N-8W,1958-01-15
5M,5N-8W,1966-09-23
5M,5N-8W,1982-10-27
5M,5N-8W,1997-02-07
5M,5N-8W,2000-01-24
5M,5N-8W,2003-02-03
5M,5N-8W,2006-01-05
5M,5N-8W,2009-02-02
5M,5N-8W,2012-01-13
5M,5N-8W,2015-01-23
5M,5N-8W,2018-01-09
5M,5N-8W,2021-01-11
5M,5N-8W,2024-02-18
5N,5N-2E,1958-01-08
5N,5N-2E,1966-09-26
5N,5N-2E,1975-05-23
5N,5N-2E,1984-09-24
5N,5N-2E,1997-02-03
5N,5N-2E,2000-01-28
5N,5N-2E,2003-01-31
5N,5N-2E,2006-01-05
5N,5N-2E,2009-02-16
5N,5N-2E,2012-02-03
5N,5N-2E,2015-02-07
5N,5N-2E,2018-01-12
5N,5N-2E,2021-01-11
5N,5N-2E,2024-02-04
5N,5N-2W,1958-01-08
5N,5N-2W,1966-09-26
5N,5N-2W,1975-05-23
5N,5N-2W,1982-10-27
5N,5N-2W,1997-02-03
5N,5N-2W,2000-01-28
5N,5N-2W,2003-01-31
5N,5N-2W,2006-01-05
5N,5N-2W,2009-02-16
5N,5N-2W,2012-02-03
5N,5N-2W,2015-02-07
5N,5N-2W,2018-01-12
5N,5N-2W,2021-01-11
5N,5N-2W,2024-02-04
5S,5S-1E,1958-06-04
5S,5S-1E,1962-09-14
5S,5S-1E,1966-10-12
5S,5S-1E,1975-05-23
5S,5S-1E,1984-09-27
5S,5S-1E,1997-05-12
5S,5S-1E,2000-01-28
5S,5S-1E,2003-01-31
5S,5S-1E,2006-01-05
5S,5S-1E,2009-02-02
5S,5S-1E,2012-02-13
5S,5S-1E,2015-02-13
5S,5S-1E,2018-01-19
5S,5S-1E,2021-01-19
5S,5S-1E,2024-02-04
5S,5S-1W,1957-12-06
5S,5S-1W,1962-09-14
5S,5S-1W,1966-10-12
5S,5S-1W,1975-05-23
5S,5S-1W,1997-05-12
5S,5S-1W,2000-01-28
5S,5S-1W,2003-01-31
5S,5S-1W,2006-01-05
5S,5S-1W,2009-02-02
5S,5S-1W,2012-02-13
5S,5S-1W,2015-02-13
5S,5S-1W,2018-01-19
5S,5S-1W,2021-01-19
5S,5S-1W,2024-02-05
5S,5S-2E,1957-12-06
5S,5S-2E,1966-10-07
5S,5S-2E,1997-05-12
5S,5S-2E,2000-01-28
5S,5S-2E,2003-01-31
5S,5S-2E,2006-01-09
5S,5S-2E,2009-02-02
5S,5S-2E,2012-02-13
5S,5S-2E,2015-02-13
5S,5S-2E,2018-01-19
5S,5S-2E,2021-01-19
5S,5S-2E,2024-02-05
5S,5S-2W,1957-12-06
5S,5S-2W,1966-10-07
5S,5S-2W,1984-09-27
5S,5S-2W,1997-05-12
5S,5S-2W,2000-01-28
5S,5S-2W,2003-01-31
5S,5S-2W,2006-01-09
5S,5S-2W,2009-02-02
5S,5S-2W,2012-02-13
5S,5S-2W,2015-02-13
5S,5S-2W,2018-01-19
5S,5S-2W,2021-01-19
5S,5S-2W,2024-02-05
5S,5S-4E,1957-11-01
5S,5S-4E,1958-01-17
5S,5S-4E,1966-10-10
5S,5S-4E,1975-05-27
5S,5S-4E,1997-02-21
5S,5S-4E,2000-01-24
5S,5S-4E,2003-02-03
5S,5S-4E,2006-01-17
5S,5S-4E,2009-04-06
5S,5S-4E,2012-01-23
5S,5S-4E,2015-02-06
5S,5S-4E,2018-01-19
5S,5S-4E,2021-01-18
5S,5S-4E,2024-02-16
5S,5S-4W,1957-11-01
5S,5S-4W,1958-06-26
5S,5S-4W,1966-10-10
5S,5S-4W,1975-05-27
5S,5S-4W,1984-09-24
5S,5S-4W,1997-02-21
5S,5S-4W,2000-01-24
5S,5S-4W,2003-02-03
5S,5S-4W,2006-01-17
5S,5S-4W,2009-01-26
5S,5S-4W,2012-01-23
5S,5S-4W,2015-02-06
5S,5S-4W,2018-01-19
5S,5S-4W,2021-01-18
5S,5S-4W,2024-02-16
5S,5S-5E,1957-11-01
5S,5S-5E,1958-01-17
5S,5S-5E,1966-10-10
5S,5S-5E,1975-05-27
5S,5S-5E,1984-09-24
5S,5S-5E,1997-02-21
5S,5S-5E,2000-02-25
5S,5S-5E,2003-02-03
5S,5S-5E,2006-01-17
5S,5S-5E,2009-01-26
5S,5S-5E,2012-02-03
5S,5S-5E,2015-02-06
5S,5S-5E,2018-01-19
5S,5S-5E,2021-01-22
5S,5S-5E,2024-02-16
5S,5S-5W,1957-11-01
5S,5S-5W,1958-01-17
5S,5S-5W,1966-10-10
5S,5S-5W,1975-05-27
5S,5S-5W,1984-09-24
5S,5S-5W,1997-02-21
5S,5S-5W,2000-02-25
5S,5S-5W,2003-02-03
5S,5S-5W,2006-01-17
5S,5S-5W,2009-01-26
5S,5S-5W,2012-02-03
5S,5S-5W,2015-02-06
5S,5S-5W,2018-01-19
5S,5S-5W,2021-01-22
5S,5S-5W,2024-02-16
6A,6A-11,1984-10-01
6A,6A-11,1997-01-27
6A,6A-11,2000-01-07
6A,6A-11,2003-01-24
6A,6A-11,2006-01-13
6A,6A-11,2009-02-20
6A,6A-11,2012-02-17
6A,6A-11,2015-02-23
6A,6A-11,2018-01-05
6A,6A-11,2021-01-06
6A,6A-11,2024-01-28
6A,6A-12,1984-10-01
6A,6A-12,1997-01-27
6A,6A-12,2000-01-07
6A,6A-12,2003-01-24
6A,6A-12,2006-01-13
6A,6A-12,2009-02-20
6A,6A-12,2012-02-17
6A,6A-12,2015-02-23
6A,6A-12,2018-01-05
6A,6A-12,2021-01-08
6A,6A-12,2024-02-03
6A,6A-13,1984-10-01
6A,6A-13,1997-01-27
6A,6A-13,2000-01-07
6A,6A-13,2003-01-24
6A,6A-13,2006-01-13
6A,6A-13,2009-02-20
6A,6A-13,2012-02-17
6A,6A-13,2015-02-23
6A,6A-13,2018-01-05
6A,6A-13,2021-01-08
6A,6A-13,2024-02-03
6A,6A-14,1984-09-28
6A,6A-14,1997-01-27
6A,6A-14,2000-01-07
6A,6A-14,2003-01-24
6A,6A-14,2006-01-13
6A,6A-14,2009-02-27
6A,6A-14,2012-02-17
6A,6A-14,2015-02-23
6A,6A-14,2018-01-04
6A,6A-14,2021-01-08
6A,6A-14,2024-02-03
6A,6A-15,1984-09-29
6A,6A-15,1997-01-27
6A,6A-15,2000-01-07
6A,6A-15,2003-01-24
6A,6A-15,2006-01-13
6A,6A-15,2009-02-27
6A,6A-15,2012-02-17
6A,6A-15,2015-02-23
6A,6A-15,2018-01-04
6A,6A-15,2021-01-08
6A,6A-15,2024-02-03
6A,6A-16,1975-06-02
6A,6A-16,1997-01-27
6A,6A-16,2000-01-07
6A,6A-16,2003-01-24
6A,6A-16,2006-02-16
6A,6A-16,2009-02-27
6A,6A-16,2012-02-17
6A,6A-16,2015-01-19
6A,6A-16,2018-01-05
6A,6A-16,2021-01-06
6A,6A-16,2024-01-27
6A,6A-17,1975-06-02
6A,6A-17,1984-10-01
6A,6A-17,1997-01-27
6A,6A-17,2000-01-07
6A,6A-17,2003-01-24
6A,6A-17,2006-02-16
6A,6A-17,2009-02-27
6A,6A-17,2012-02-20
6A,6A-17,2015-01-19
6A,6A-17,2018-01-05
6A,6A-17,2021-01-08
6A,6A-17,2024-01-27
6A,6A-18,1975-06-02
6A,6A-18,1984-10-01
6A,6A-18,1997-01-27
6A,6A-18,2000-01-07
6A,6A-18,2003-01-24
6A,6A-18,2006-01-31
6A,6A-18,2009-02-27
6A,6A-18,2012-02-20
6A,6A-18,2015-01-19
6A,6A-18,2018-01-05
6A,6A-18,2021-01-08
6A,6A-18,2024-01-28
6A,6A-19,1975-06-03
6A,6A-19,1984-10-01
6A,6A-19,1997-01-27
6A,6A-19,2000-01-07
6A,6A-19,2003-01-24
6A,6A-19,2006-01-31
6A,6A-19,2009-02-27
6A,6A-19,2012-02-20
6A,6A-19,2015-01-19
6A,6A-19,2018-01-05
6A,6A-19,2021-01-11
6A,6A-19,2024-01-28
6A,6A-20,1975-06-03
6A,6A-20,1984-10-01
6A,6A-20,1997-01-27
6A,6A-20,2000-01-07
6A,6A-20,2003-01-24
6A,6A-20,2006-01-31
6A,6A-20,2009-02-27
6A,6A-20,2012-02-20
6A,6A-20,2015-01-19
6A,6A-20,2018-01-05
6A,6A-20,2021-01-11
6A,6A-20,2024-01-28
6A,6A-36,1975-06-10
6A,6A-36,1997-02-14
6A,6A-36,2000-01-17
6A,6A-36,2003-03-03
6A,6A-36,2006-01-31
6A,6A-36,2009-03-09
6A,6A-36,2012-02-24
6A,6A-36,2015-02-27
6A,6A-36,2018-02-12
6A,6A-36,2021-02-10
6A,6A-36,2024-03-01
6A,6A-37,1975-06-10
6A,6A-37,1984-10-05
6A,6A-37,1997-02-14
6A,6A-37,2000-01-17
6A,6A-37,2003-03-03
6A,6A-37,2006-01-31
6A,6A-37,2009-03-09
6A,6A-37,2012-02-24
6A,6A-37,2015-02-27
6A,6A-37,2018-02-12
6A,6A-37,2021-02-10
6A,6A-37,2024-03-01
6A,6A-38,1975-06-11
6A,6A-38,1981-06-01
6A,6A-38,1984-10-05
6A,6A-38,1997-02-14
6A,6A-38,2000-01-17
6A,6A-38,2003-03-03
6A,6A-38,2006-01-31
6A,6A-38,2009-03-09
6A,6A-38,2012-02-24
6A,6A-38,2015-02-27
6A,6A-38,2018-02-12
6A,6A-38,2021-02-10
6A,6A-38,2024-03-01
6A,6A-39,1975-06-11
6A,6A-39,1984-09-29
6A,6A-39,1997-02-14
6A,6A-39,2000-01-17
6A,6A-39,2003-03-03
6A,6A-39,2006-01-31
6A,6A-39,2009-03-09
6A,6A-39,2012-02-24
6A,6A-39,2015-02-27
6A,6A-39,2018-02-12
6A,6A-39,2021-02-10
6A,6A-39,2024-03-01
6A,6A-40,1975-06-11
6A,6A-40,1997-02-14
6A,6A-40,2000-01-17
6A,6A-40,2003-03-03
6A,6A-40,2006-01-31
6A,6A-40,2009-03-09
6A,6A-40,2012-02-24
6A,6A-40,2015-02-27
